date,views,likes,comments,shares,total engagements,engagement rate %,company name,post topic,post url,post content,number of faces,face emotion,face position,face area %,objects,number of objects,object 1,object 1 position,object 1 area %,object 2,object 2 position,object 2 area %,text length,dominant colour,cta,cta position,cta area %,logos,logo 1 name,logo 1 position,logo 1 area %,logo 2 name,logo 2 position,logo 2 area %,number of persons,person area %
2023-09-01,3205,6,0,0,6,0.19,Infosys,Offerings,https://twitter.com/Infosys/status/1697527726595363229,"Introducing our limited-edition 3-episode series to keep you abreast on all things Service Experience with perspectives from Infosys, partners, and clients - all in 1 exclusive season for the very 1st time! Stay tuned. #SETChronicles #RedefiningServiceExperience #InfosysCobalt",,,,,"Person, Clothing",2,Person,center-right,23.07929564,Clothing,bottom-right,2.91819407,87,lightseagreen,,,,,,,,,,,1,23.07929564
2023-09-01,3223,26,1,0,27,0.84,HCL,Offerings,https://twitter.com/hcltech/status/1697504651665695004,"We are delighted to announce that German automotive engineering services company, ASAP Group, is now part of HCLTech. With HCLTech and ASAP Group’s combined talent and #engineering capabilities, we look forward to working together to supercharge progress in the global #automotive industry.
#SuperchargingProgress",,,,,,,,,,,,,78,slateblue,,,,,,,,,,,,
2023-09-05,1789,5,0,0,5,0.28,Infosys,Awards & Recognition,https://twitter.com/Infosys/status/1699002023511830923,".
@IDC
 MarketScape names Infosys a #Leader, second time, in its Worldwide #ArtificialIntelligence Services 2023 Vendor Assessment. Find out why: http://infy.com/3sHANl5 #InfosysTopaz #appliedAI",5,Joy,top-right,0.6611887575,"Pants, Person, Person, Pants, Person, Pants, Person, Pants, Coat",9,Pants,bottom-center,5.857027792,Person,center-right,16.05991155,98,rosybrown,,,,,,,,,,,4,49.87488155
2023-09-06,1623,2,0,0,2,0.13,Infosys,Thought Leader,https://twitter.com/Infosys/status/1699324054870618538,"Employees and their supervisors are increasingly finding themselves locked in a stalemate in the continued return-to-office debate, according to Infosys’ Rajesh Varrier. Read wonderful insights shared in the article in 
@Forbes
 here. http://bit.ly/3RaRXBU",1,Joy,center-right,9.829519275,"Glasses, Person",2,Glasses,center-right,2.482394427,Person,center-right,44.84783951,127,darkmagenta,,,,Infosys,Infosys,top-left,1.551988942,,,,1,44.84783951
2023-09-06,1726,4,0,0,4,0.24,Infosys,Offerings,https://twitter.com/Infosys/status/1699346708054818956,"In this #podcast, Lefdal Mine Datacenter’s Chief Marketing Officer, Mats Andersson, takes us through the planning and execution of the “Norwegian Solution,” one of the greenest datacenters on the planet. Read more. http://bit.ly/3PshxRq",1,Joy,center-right,0.5114421748,"Pants, Person, Person",3,Person,center-right,11.26999084,Pants,bottom-right,3.565822303,106,darkslategray,,,,,,,,,,,2,25.11880577
2023-09-07,982,1,0,0,1,0.11,Infosys,Offerings,https://twitter.com/Infosys/status/1699702999843574096,"#DigitalCommerce success is not just about technology, it is also about leadership and culture. Learn the key to a successful transformation here. http://infy.com/3sNHIcA",5,Joy,top-right,1.428735985,"Jeans, Person, Chair, Person, Person, Top, Person, Person, Top",9,Person,center,23.72901369,Chair,bottom-right,8.053194014,99,darkslategray,,,,Infosys,Infosys,top-left,1.364997696,,,,5,43.26997633
2023-09-01,2402,11,1,0,12,0.5,Infosys,Thought Leader,https://twitter.com/Infosys/status/1697542316699914303,"""Why does it pay to lead with purpose, especially now?"" Learn more on this interesting topic by Rajesh Varrier, published by 
@TalentCulture
, wherein he highlights the importance of weaving purpose into employee experience.
Read more: http://bit.ly/44cxSxQ #EmployeeExperience",1,Joy,center-right,9.952772232,"Glasses, Person, Outerwear",3,Glasses,center-right,2.592639798,Person,center-right,45.40074178,97,darkorchid,,,,Infosys,Infosys,top-left,1.533942559,,,,1,45.40074178
2023-09-01,2924,6,0,0,6,0.21,Infosys,Offerings,https://twitter.com/Infosys/status/1697572513784430657,"Together, Infosys and #Oracle are transforming organizations into resilient, cloud-connected pioneers. Learn at Oracle #CloudWorld how #OCI can help you unlock cloud-connected agility and sustainability. http://infy.com/3sydDgN #InfyAtOCW23 #InfosysOracleServices",3,Joy,center-right,1.078559361,"Person, Table top, Laptop, Person, Person",5,Person,center,9.632238521,Table top,bottom-center,18.32101307,117,darkslategray,,,,"Infosys, Oracle Corporation",Infosys,top-left,1.382276148,Oracle Corporation,top-right,1.906005222,3,50.35711583
2023-09-01,2997,6,0,0,6,0.21,Infosys,Thought Leader,https://twitter.com/Infosys/status/1697557414642413873,"In the era of hybrid networks, a holistic approach to security is advisable. Find out more in the new article by Vikram Meghal, Infosys, on 
@connect_profess
: http://bit.ly/44yC6zN",1,Joy,center-right,1.597296882,"Person, Clothing",2,Person,center-right,4.729947022,Clothing,center-right,1.70617612,92,goldenrod,,,,Infosys,Infosys,top-left,1.566579634,,,,1,4.729947022
2023-09-01,3005,9,1,0,10,0.34,Infosys,Deals,https://twitter.com/Infosys/status/1697568296395002014,".
@Cisco
 partnered with Infosys to transform its technical support services. Nasir Mohammed, Director, Service Delivery – IT at Cisco, discusses how Cisco enhanced the #customerexperience through a modern cloud-native platform. http://infy.com/3PiW5hI #InfosysCobalt 
@AWS_Partners",,,,,"Laptop, Computer keyboard",2,Laptop,center-right,37.19840953,Computer keyboard,bottom-right,10.14154959,99,tan,,,,Cisco Catalyst,Cisco Catalyst,top-right,1.515896176,,,,0,0
